id,algorithm,vertices,total_cost,operations_count,execution_time_ms
1,prim,10,341.0,10,1.2208
1,kruskal,10,341.0,13,1.8282
2,prim,20,646.0,30,0.1367
2,kruskal,20,646.0,36,0.0758
3,prim,25,787.0,38,0.1653
3,kruskal,25,787.0,46,0.0731
4,prim,10,348.0,16,0.0407
4,kruskal,10,348.0,16,0.0227
5,prim,22,794.0,27,0.0917
5,kruskal,22,794.0,34,0.061
6,prim,169,5477.0,281,2.5122
6,kruskal,169,5477.0,283,0.3491
7,prim,126,3498.0,206,0.844
7,kruskal,126,3498.0,245,0.2565
8,prim,158,4594.0,286,1.2181
8,kruskal,158,4594.0,286,0.4285
9,prim,56,1632.0,87,0.2403
9,kruskal,56,1632.0,102,0.1248
10,prim,51,1593.0,79,0.1811
10,kruskal,51,1593.0,79,0.0973
11,prim,185,6632.0,312,1.696
11,kruskal,185,6632.0,314,0.3827
12,prim,239,8275.0,416,2.9054
12,kruskal,239,8275.0,419,0.4872
13,prim,86,2239.0,124,0.4226
13,kruskal,86,2239.0,164,0.18
14,prim,226,7363.0,404,2.643
14,kruskal,226,7363.0,418,0.5568
15,prim,287,9976.0,445,3.7254
15,kruskal,287,9976.0,448,0.4232
16,prim,434,13610.0,764,7.1993
16,kruskal,434,13610.0,771,0.9177
17,prim,941,27876.0,1842,35.4867
17,kruskal,941,27876.0,1860,2.3337
18,prim,483,15620.0,846,3.2921
18,kruskal,483,15620.0,864,0.9317
19,prim,598,20383.0,996,4.7572
19,kruskal,598,20383.0,1003,1.0663
20,prim,577,18938.0,1004,4.6709
20,kruskal,577,18938.0,1011,0.953
21,prim,432,14188.0,754,2.745
21,kruskal,432,14188.0,773,0.6348
22,prim,342,12422.0,512,1.4978
22,kruskal,342,12422.0,518,0.4393
23,prim,363,11233.0,640,1.9757
23,kruskal,363,11233.0,649,0.5498
24,prim,910,29401.0,1537,10.5985
24,kruskal,910,29401.0,1561,1.529
25,prim,644,19591.0,1147,7.2048
25,kruskal,644,19591.0,1159,1.0205
26,prim,1099,33640.0,2068,22.9412
26,kruskal,1099,33640.0,2069,1.6306
27,prim,1547,53926.0,2500,51.1499
27,kruskal,1547,53926.0,2505,1.5311
28,prim,1447,47812.0,2469,43.5837
28,kruskal,1447,47812.0,2473,1.6363
